"Designator","Mid X","Mid Y","Layer","Rotation"
"J5","98.75mm","-22.2mm","top","0.0"
"SW60","231.1mm","-126.24mm","top","0.0"
"SW73","240.7mm","-38.24mm","top","0.0"
"SW65","212.5mm","-108.64mm","top","0.0"
"SW6","22mm","-126.24mm","top","0.0"
"SW12","49.85mm","-126.24mm","top","0.0"
"SW5","22mm","-108.64mm","top","0.0"
"SW4","17.5mm","-91.04mm","top","0.0"
"D21","73.45mm","-78.14mm","top","90.0"
"SW26","91.9mm","-55.84mm","top","0.0"
"J4","207.100mm","-19.450mm","top","0.0"
"J3","196mm","-25.3mm","top","270.0"
"R19","104.75mm","-26.25mm","top","180.0"
"R18","104.75mm","-24.25mm","top","180.0"
"R17","104.75mm","-22.25mm","top","180.0"
"R16","119.75mm","-24.25mm","top","0.0"
"F1","206.2mm","-28.8mm","top","180.0"
"D164","199.4mm","-27.6mm","top","270.0"
"R15","230.35mm","-23.05mm","top","270.0"
"FB1","202.2mm","-29.25mm","top","0.0"
"U4","200.5mm","-22mm","top","180.0"
"C13","48.75mm","-21.75mm","top","270.0"
"SW55","184.9mm","-38.24mm","top","0.0"
"SW42","170.6mm","-126.24mm","top","0.0"
"SW36","147.4mm","-126.24mm","top","0.0"
"SW56","184.9mm","-55.84mm","top","0.0"
"SW30","128.8mm","-126.24mm","top","0.0"
"SW24","105.55mm","-126.24mm","top","0.0"
"SW18","77.7mm","-126.24mm","top","0.0"
"SW81","263.8mm","-91.04mm","top","0.0"
"SW3","22mm","-73.44mm","top","0.0"
"SW79","263.8mm","-55.84mm","top","0.0"
"SW78","263.8mm","-38.24mm","top","0.0"
"SW7","36.1mm","-38.24mm","top","0.0"
"SW72","268.3mm","-126.24mm","top","0.0"
"SW66","249.7mm","-126.24mm","top","0.0"
"SW54","212.5mm","-126.24mm","top","0.0"
"SW48","193.9mm","-126.24mm","top","0.0"
"SW82","268.3mm","-108.64mm","top","0.0"
"SW77","249.7mm","-108.64mm","top","0.0"
"SW71","231.1mm","-108.64mm","top","0.0"
"SW59","193.9mm","-108.64mm","top","0.0"
"SW53","175.3mm","-108.64mm","top","0.0"
"SW47","156.7mm","-108.64mm","top","0.0"
"SW41","138.1mm","-108.64mm","top","0.0"
"SW35","119.5mm","-108.64mm","top","0.0"
"SW29","100.9mm","-108.64mm","top","0.0"
"SW23","82.3mm","-108.64mm","top","0.0"
"SW17","63.7mm","-108.64mm","top","0.0"
"SW11","45.1mm","-108.64mm","top","0.0"
"SW76","240.7mm","-91.04mm","top","0.0"
"SW70","222.1mm","-91.04mm","top","0.0"
"SW64","203.5mm","-91.04mm","top","0.0"
"SW58","184.9mm","-91.04mm","top","0.0"
"SW52","166.3mm","-91.04mm","top","0.0"
"SW46","147.7mm","-91.04mm","top","0.0"
"SW40","129.1mm","-91.04mm","top","0.0"
"SW34","110.5mm","-91.04mm","top","0.0"
"SW28","91.9mm","-91.04mm","top","0.0"
"SW22","73.3mm","-91.04mm","top","0.0"
"SW16","54.7mm","-91.04mm","top","0.0"
"SW10","36.1mm","-91.04mm","top","0.0"
"SW80","268.3mm","-73.44mm","top","0.0"
"SW75","249.7mm","-73.44mm","top","0.0"
"SW69","231.1mm","-73.44mm","top","0.0"
"SW63","212.5mm","-73.44mm","top","0.0"
"SW57","193.9mm","-73.44mm","top","0.0"
"SW51","175.3mm","-73.44mm","top","0.0"
"SW45","156.7mm","-73.44mm","top","0.0"
"SW39","138.1mm","-73.44mm","top","0.0"
"SW33","119.5mm","-73.44mm","top","0.0"
"SW27","100.9mm","-73.44mm","top","0.0"
"SW21","82.3mm","-73.44mm","top","0.0"
"SW15","63.7mm","-73.44mm","top","0.0"
"SW9","45.1mm","-73.44mm","top","0.0"
"SW74","240.7mm","-55.84mm","top","0.0"
"SW68","222.1mm","-55.84mm","top","0.0"
"SW62","203.5mm","-55.84mm","top","0.0"
"SW50","166.3mm","-55.84mm","top","0.0"
"SW44","147.7mm","-55.84mm","top","0.0"
"SW38","129.1mm","-55.84mm","top","0.0"
"SW32","110.5mm","-55.84mm","top","0.0"
"SW20","73.3mm","-55.84mm","top","0.0"
"SW14","54.7mm","-55.84mm","top","0.0"
"SW8","36.1mm","-55.84mm","top","0.0"
"SW2","17.5mm","-55.84mm","top","0.0"
"SW67","222.1mm","-38.24mm","top","0.0"
"SW61","203.5mm","-38.24mm","top","0.0"
"SW49","166.3mm","-38.24mm","top","0.0"
"SW43","147.7mm","-38.24mm","top","0.0"
"SW37","129.1mm","-38.24mm","top","0.0"
"SW31","110.5mm","-38.24mm","top","0.0"
"SW25","91.9mm","-38.24mm","top","0.0"
"SW19","73.3mm","-38.24mm","top","0.0"
"SW13","54.7mm","-38.24mm","top","0.0"
"SW1","17.5mm","-38.24mm","top","0.0"
"U3","154.5mm","-26.8mm","top","45.0"
"C12","152.4mm","-25mm","top","225.0"
"C11","152.443153mm","-28.643153mm","top","135.0"
"Y1","128.7mm","-26.3mm","top","45.0"
"J2","77.5mm","-25mm","top","180.0"
"J1","222mm","-25mm","top","180.0"
"R14","203.5mm","-25.7mm","top","180.0"
"R13","211.3mm","-25.7mm","top","180.0"
"R4","157mm","-34.9625mm","top","90.0"
"R3","123.5mm","-27.5mm","top","0.0"
"R2","188.2mm","-22.35mm","top","0.0"
"R1","188.2mm","-20.85mm","top","0.0"
"C6","150.2mm","-26.4mm","top","315.0"
"C5","141.9mm","-21.8mm","top","180.0"
"C4","138.25mm","-39mm","top","270.0"
"C3","138.25mm","-43.25mm","top","90.0"
"C2","131.1mm","-24.4mm","top","315.0"
"C1","126.8mm","-24.3mm","top","225.0"
"D163","268.25mm","-121.5mm","top","180.0"
"D162","249.7125mm","-121.5mm","top","180.0"
"D153","268.5mm","-103.75mm","top","180.0"
"D152","249.75mm","-103.75mm","top","180.0"
"D143","82.25mm","-104mm","top","180.0"
"D142","63.75mm","-103.75mm","top","180.0"
"D133","147.7875mm","-86.25mm","top","180.0"
"D132","129.25mm","-86.25mm","top","180.0"
"D123","231.25mm","-68.75mm","top","180.0"
"D122","212.5mm","-68.75mm","top","180.0"
"D113","45mm","-68.75mm","top","180.0"
"D112","22mm","-68.75mm","top","180.0"
"D103","110.5mm","-51mm","top","180.0"
"D102","92mm","-51mm","top","180.0"
"D93","185mm","-33.5mm","top","180.0"
"D92","166.25mm","-33.5mm","top","180.0"
"U2","54.75mm","-26.5mm","top","180.0"
"R12","64mm","-32mm","top","0.0"
"R11","64mm","-30.25mm","top","180.0"
"R10","53.25mm","-21.75mm","top","90.0"
"R9","57.75mm","-21mm","top","180.0"
"R8","55mm","-21.75mm","top","90.0"
"R7","50mm","-28mm","top","180.0"
"L1","65.25mm","-22.25mm","top","0.0"
"D161","231.25mm","-121.5mm","top","180.0"
"D160","212.5mm","-121.5mm","top","180.0"
"D159","194mm","-121.5mm","top","180.0"
"D158","147.5mm","-121.5mm","top","180.0"
"D157","128.75mm","-121.5mm","top","180.0"
"D156","77.75mm","-121.5mm","top","180.0"
"D155","49.75mm","-121.5mm","top","180.0"
"D154","22mm","-121.5mm","top","180.0"
"D151","231.25mm","-103.75mm","top","180.0"
"D150","212.75mm","-103.75mm","top","180.0"
"D149","194mm","-103.75mm","top","180.0"
"D148","175.5mm","-103.75mm","top","180.0"
"D147","156.75mm","-103.75mm","top","180.0"
"D146","138mm","-103.75mm","top","180.0"
"D145","119.5mm","-103.75mm","top","180.0"
"D144","101mm","-103.75mm","top","180.0"
"D141","45mm","-103.75mm","top","180.0"
"D140","22mm","-103.75mm","top","180.0"
"D139","263.75mm","-86.25mm","top","180.0"
"D138","240.75mm","-86.25mm","top","180.0"
"D137","222.25mm","-86.25mm","top","180.0"
"D136","203.5mm","-86.25mm","top","180.0"
"D135","185mm","-86.25mm","top","180.0"
"D134","166.5mm","-86.25mm","top","180.0"
"D131","110.5mm","-86.25mm","top","180.0"
"D130","92mm","-86.25mm","top","180.0"
"D129","73.25mm","-86.25mm","top","180.0"
"D128","54.75mm","-86.25mm","top","180.0"
"D127","36mm","-86.25mm","top","180.0"
"D126","17.5mm","-86.25mm","top","180.0"
"D125","268.5mm","-68.75mm","top","180.0"
"D124","249.75mm","-68.75mm","top","180.0"
"D121","194mm","-68.75mm","top","180.0"
"D120","175.25mm","-68.75mm","top","180.0"
"D119","156.75mm","-68.75mm","top","180.0"
"D118","138mm","-68.75mm","top","180.0"
"D117","119.5mm","-68.75mm","top","180.0"
"D116","101mm","-68.75mm","top","180.0"
"D115","82.25mm","-68.75mm","top","180.0"
"D114","63.75mm","-68.75mm","top","180.0"
"D111","263.75mm","-51mm","top","180.0"
"D110","240.75mm","-51mm","top","180.0"
"D109","222mm","-51mm","top","180.0"
"D108","203.5mm","-51mm","top","180.0"
"D107","184.75mm","-51mm","top","180.0"
"D106","166.25mm","-51mm","top","180.0"
"D105","147.75mm","-51mm","top","180.0"
"D104","128.9625mm","-51mm","top","180.0"
"D101","73.5mm","-51mm","top","180.0"
"D100","54.75mm","-51mm","top","180.0"
"D99","36mm","-51mm","top","180.0"
"D98","17.5mm","-51mm","top","180.0"
"D97","263.75mm","-33.5mm","top","180.0"
"D96","240.75mm","-33.5mm","top","180.0"
"D95","222.25mm","-33.5mm","top","180.0"
"D94","203.5mm","-33.5mm","top","180.0"
